,Age,DOB,Debuted,From,Height,Name,Weight,link
0,26 years,07/20/1993,2013,Pittsburgh,7 ft0 in/2.13m, Steven Adams ,265 lbs/120.2kg,https://www.nba.com/players/steven/adams/203500
1,22 years,07/18/1997,2017,Kentucky,6 ft10 in/2.08m, Bam Adebayo ,255 lbs/115.7kg,https://www.nba.com/players/bam/adebayo/1628389
2,22 years,02-01-1997,2018,University of Louisville,6 ft7 in/2.01m, Deng Adel ,200 lbs/90.7kg,https://www.nba.com/players/deng/adel/1629061
3,34 years,07/19/1985,2006,Texas,6 ft11 in/2.11m, LaMarcus Aldridge ,260 lbs/117.9kg,https://www.nba.com/players/lamarcus/aldridge/200746
4,20 years,09-02-1998,—,Virginia Tech,6 ft5 in/1.96m, Nickeil Alexander-Walker ,204 lbs/92.5kg,https://www.nba.com/players/nickeil/alexander-walker/1629638
5,22 years,10/21/1996,—,Tennessee,6 ft11 in/2.11m, Kyle Alexander ,220 lbs/99.8kg,https://www.nba.com/players/kyle/alexander/1629734
6,21 years,10/29/1997,2018,University of Arizona,6 ft5 in/1.96m, Rawle Alkins ,225 lbs/102.1kg,https://www.nba.com/players/rawle/alkins/1628959
7,23 years,10-08-1995,2018,Duke University,6 ft5 in/1.96m, Grayson Allen ,198 lbs/89.8kg,https://www.nba.com/players/grayson/allen/1628960
8,21 years,04/21/1998,2017,Texas,6 ft11 in/2.11m, Jarrett Allen ,237 lbs/107.5kg,https://www.nba.com/players/jarrett/allen/1628386
9,26 years,01/15/1993,2017,Arizona,6 ft3 in/1.9m, Kadeem Allen ,200 lbs/90.7kg,https://www.nba.com/players/kadeem/allen/1628443
10,28 years,09/21/1990,2010,Wake Forest,6 ft9 in/2.06m, Al-Farouq Aminu ,220 lbs/99.8kg,https://www.nba.com/players/al-farouq/aminu/202329
11,25 years,11/19/1993,2015,Virginia,6 ft6 in/1.98m, Justin Anderson ,230 lbs/104.3kg,https://www.nba.com/players/justin/anderson/1626147
12,25 years,09/20/1993,2014,UCLA,6 ft9 in/2.06m, Kyle Anderson ,230 lbs/104.3kg,https://www.nba.com/players/kyle/anderson/203937
13,24 years,12-06-1994,2013,,6 ft11 in/2.11m, Giannis Antetokounmpo ,242 lbs/109.8kg,https://www.nba.com/players/giannis/antetokounmpo/203507
14,22 years,07/17/1997,2017,Indiana,6 ft8 in/2.03m, OG Anunoby ,232 lbs/105.2kg,https://www.nba.com/players/og/anunoby/1628384
15,25 years,03/26/1994,2017,Villanova,6 ft3 in/1.9m, Ryan Arcidiacono ,200 lbs/90.7kg,https://www.nba.com/players/ryan/arcidiacono/1627853
16,34 years,06/30/1985,2004,UCLA,6 ft8 in/2.03m, Trevor Ariza ,215 lbs/97.5kg,https://www.nba.com/players/trevor/ariza/2772
17,31 years,11-10-1987,2008,Texas,6 ft0 in/1.83m, D.J. Augustin ,183 lbs/83.0kg,https://www.nba.com/players/d.j./augustin/201571
18,20 years,07/23/1998,2018,University of Arizona,7 ft1 in/2.16m, Deandre Ayton ,250 lbs/113.4kg,https://www.nba.com/players/deandre/ayton/1629028
19,23 years,08/30/1995,2017,Florida State,6 ft7 in/2.01m, Dwayne Bacon ,221 lbs/100.2kg,https://www.nba.com/players/dwayne/bacon/1628407
20,20 years,03/14/1999,2018,Duke University,6 ft11 in/2.11m, Marvin Bagley III ,234 lbs/106.1kg,https://www.nba.com/players/marvin/bagley_iii/1628963
21,21 years,10/27/1997,2017,UCLA,6 ft6 in/1.98m, Lonzo Ball ,190 lbs/86.2kg,https://www.nba.com/players/lonzo/ball/1628366
22,21 years,05-12-1998,2018,University of Texas at Austin,7 ft0 in/2.13m, Mo Bamba ,221 lbs/100.2kg,https://www.nba.com/players/mo/bamba/1628964
